NbDepart,NbArriv,NbAnnule,NbDevie,DelaiDepart,DelaiArriv,TaxiOut,TaxiIn
0,0,0,1,-19,-34,0,0
0,-1,1,0,3,-8,1,2
0,0,8,1,2,4,1,1
1,1,0,0,-4,-3,0,1
0,0,0,0,0,0,0,0
0,0,1,0,-1,2,1,-1
0,-1,0,1,11,1,0,5
0,-1,0,1,6,4,0,1
1,1,49,-5,4,5,1,1
0,0,-1,0,6,23,0,0
0,-1,-1,0,4,0,-1,0
1,1,-2,0,9,5,0,2
0,0,2,2,-2,3,0,1
3,3,1,-2,3,-2,0,3
-2,-2,5,3,1,0,-1,-1
0,0,0,0,2,1,-1,1
0,0,0,0,1,1,0,1
3,4,4,0,4,3,0,1
-29,-28,11,-17,-1,0,-1,0
0,0,4,0,5,6,0,3
0,0,0,0,2,-3,0,0
1,0,7,0,8,6,0,1
1,2,1,0,0,8,0,-1
1,3,-4,28,-4,-2,-2,-3
0,0,0,0,5,6,0,2
0,0,3,0,0,0,-1,1
0,-1,8,-9,4,9,1,1
0,0,0,0,-4,-15,0,0
0,0,5,0,7,4,1,1
0,0,-1,-1,3,5,0,0
3,2,3,0,1,8,0,1
11,8,8,2,12,9,1,1
-3,-2,5,0,3,4,0,2
0,0,5,0,6,5,1,0
5,6,2,0,5,6,1,0
0,0,-1,0,1,-8,-1,1
0,2,-2,-2,8,7,1,1
0,0,0,0,6,5,0,0
-3,0,4,0,3,9,0,0
1,0,-2,0,8,7,0,1
0,0,0,0,4,1,0,-2
2,1,-6,1,-5,-3,0,1
0,0,2,1,2,2,0,0
0,0,1,0,2,-1,0,0
0,0,0,0,4,5,0,0
1,-1,4,-8,1,3,1,0
0,0,0,0,26,20,1,-1
0,0,0,0,3,8,1,5
0,0,0,0,6,0,1,-2
0,0,1,0,2,0,-1,-1
0,0,2,0,-1,-3,2,-1
5,4,15,-3,7,9,1,1
0,0,0,-1,0,-1,1,-2
3,3,-3,3,2,2,-1,0
1,0,-1,0,-4,-3,0,1
0,1,1,0,0,-3,0,0
0,-2,-2,-1,15,5,0,0
0,0,2,2,0,0,0,-1
15,16,73,-3,4,6,0,2
0,0,6,4,7,9,0,0
-1,-1,-1,0,1,4,0,0
0,0,7,-1,5,14,0,2
0,0,3,0,9,6,0,0
0,0,3,0,-4,1,0,2
0,0,0,0,-2,-2,0,0
0,0,2,0,10,11,-1,1
-6,0,11,0,11,10,0,1
0,0,0,0,14,4,0,0
0,0,0,0,5,13,-1,2
